url_length,body_length,entropy,n_params,has_suspicious_chars,req_per_minute
1,0,-0.0,0,0,133
13,0,3.1808,0,0,133
11,0,3.0272,0,0,133
11,0,2.7322,0,0,133
8,0,3.0,0,0,133
29,0,4.3492,0,0,133
18,0,4.0588,0,0,133
18,0,4.1699,0,0,133
18,0,4.0588,0,0,133
20,0,3.3464,0,0,133
31,0,3.8489,0,0,133
31,0,3.8489,0,0,133
37,0,3.9156,0,0,133
40,0,4.1776,0,0,133
36,0,4.5724,0,0,133
37,0,3.9156,0,0,133
15,0,3.2402,0,0,133
29,0,3.9523,0,0,133
37,0,3.9156,0,0,133
37,0,3.9156,0,0,133
37,0,3.9156,0,0,133
37,0,3.9156,0,0,133
24,0,3.7406,1,0,133
35,0,4.3077,1,0,133
15,0,3.1899,0,0,133
50,0,3.9762,0,0,133
47,0,4.0949,0,0,133
46,0,4.0051,0,0,133
49,0,4.0834,0,0,133
46,0,4.1541,0,0,133
35,0,4.3077,1,0,133
43,0,4.1649,0,0,133
40,0,3.9537,0,0,133
48,0,4.0485,0,0,133
52,0,4.1908,0,0,133
49,0,4.0742,0,0,133
54,0,4.1742,0,0,133
49,0,4.135,0,0,133
45,0,4.0221,0,0,133
46,0,4.0672,0,0,133
46,0,4.0228,0,0,133
31,0,4.309,0,0,133
22,0,4.1867,0,0,133
22,0,4.1867,0,0,133
22,0,4.3685,0,0,133
22,0,4.3685,0,0,133
22,0,4.2776,0,0,133
22,0,4.1867,0,0,133
22,0,4.3685,0,0,133
22,0,4.2776,0,0,133
22,0,4.2776,0,0,133
22,0,4.1867,0,0,133
22,0,4.0615,0,0,133
22,0,4.2776,0,0,133
22,0,4.0958,0,0,133
22,0,4.0615,0,0,133
22,0,4.3685,0,0,133
22,0,4.1867,0,0,133
25,0,4.2439,0,0,133
22,0,4.1867,0,0,133
22,0,4.2776,0,0,133
22,0,4.3685,0,0,133
22,0,4.1867,0,0,133
22,0,4.1867,0,0,133
22,0,4.0958,0,0,133
15,0,3.1899,0,0,133
24,0,3.7406,1,0,133
37,0,3.9156,0,0,133
37,0,3.9156,0,0,133
22,0,4.2776,0,0,133
38,0,4.1883,0,0,133
22,0,4.1867,0,0,133
22,0,4.1867,0,0,133
22,0,4.2776,0,0,133
22,0,4.2776,0,0,133
22,0,4.0958,0,0,133
22,0,4.1867,0,0,133
22,0,4.2776,0,0,133
22,0,4.0049,0,0,133
22,0,4.2776,0,0,133
22,0,4.2776,0,0,133
22,0,4.2776,0,0,133
22,0,4.1867,0,0,133
22,0,4.0958,0,0,133
22,0,4.0615,0,0,133
22,0,4.1867,0,0,133
22,0,4.2776,0,0,133
22,0,4.3685,0,0,133
22,0,4.2776,0,0,133
22,0,4.0958,0,0,133
34,0,4.0653,0,0,133
10,0,2.9219,0,0,133
1,0,-0.0,0,0,133
13,0,3.1808,0,0,133
8,0,3.0,0,0,133
11,0,3.0272,0,0,133
29,0,4.3492,0,0,133
18,0,4.0588,0,0,133
18,0,4.0588,0,0,133
18,0,4.1699,0,0,133
20,0,3.3464,0,0,133
37,0,3.9156,0,0,133
31,0,3.8489,0,0,133
40,0,4.1776,0,0,133
37,0,3.9156,0,0,133
15,0,3.2402,0,0,133
31,0,3.8489,0,0,133
37,0,3.9156,0,0,133
11,0,2.7322,0,0,133
37,0,3.9156,0,0,133
37,0,3.9156,0,0,133
36,0,4.5724,0,0,133
24,0,3.7406,1,0,133
37,0,3.9156,0,0,133
15,0,3.1899,0,0,133
35,0,4.3077,1,0,133
50,0,3.9762,0,0,133
46,0,4.0051,0,0,133
47,0,4.0949,0,0,133
46,0,4.1541,0,0,133
35,0,4.3077,1,0,133
49,0,4.0834,0,0,133
43,0,4.1649,0,0,133
40,0,3.9537,0,0,133
48,0,4.0485,0,0,133
52,0,4.1908,0,0,133
49,0,4.0742,0,0,133
54,0,4.1742,0,0,133
46,0,4.0228,0,0,133
46,0,4.0672,0,0,133
49,0,4.135,0,0,133
45,0,4.0221,0,0,133
31,0,4.309,0,0,133
1,0,-0.0,0,0,40
13,0,3.1808,0,0,40
8,0,3.0,0,0,40
11,0,3.0272,0,0,40
11,0,2.7322,0,0,40
18,0,4.1699,0,0,40
18,0,4.0588,0,0,40
18,0,4.0588,0,0,40
29,0,4.3492,0,0,40
20,0,3.3464,0,0,40
31,0,3.8489,0,0,40
37,0,3.9156,0,0,40
31,0,3.8489,0,0,40
37,0,3.9156,0,0,40
40,0,4.1776,0,0,40
36,0,4.5724,0,0,40
37,0,3.9156,0,0,40
15,0,3.2402,0,0,40
37,0,3.9156,0,0,40
37,0,3.9156,0,0,40
37,0,3.9156,0,0,40
24,0,3.7406,1,0,40
35,0,4.3077,1,0,40
15,0,3.1899,0,0,40
35,0,4.3077,1,0,40
47,0,4.0949,0,0,40
50,0,3.9762,0,0,40
49,0,4.0834,0,0,40
46,0,4.0051,0,0,40
46,0,4.1541,0,0,40
40,0,3.9537,0,0,40
43,0,4.1649,0,0,40
48,0,4.0485,0,0,40
52,0,4.1908,0,0,40
49,0,4.0742,0,0,40
49,0,4.135,0,0,40
46,0,4.0672,0,0,40
54,0,4.1742,0,0,40
46,0,4.0228,0,0,40
45,0,4.0221,0,0,40
1,0,-0.0,0,0,41
13,0,3.1808,0,0,41
8,0,3.0,0,0,41
11,0,3.0272,0,0,41
11,0,2.7322,0,0,41
18,0,4.1699,0,0,41
