peticion,tipo_real,anomaly_score,es_anomalo,veredicto
Normal - busqueda de producto,normal,0.08578,False,NORMAL
Normal - detalle de producto,normal,-0.0339,False,NORMAL
Normal - login valido,normal,-0.0339,False,NORMAL
Normal - ver carrito,normal,-0.04932,False,NORMAL
Normal - whoami,normal,-0.02394,False,NORMAL
Ataque - SQLi basico,ataque,0.00015,False,NORMAL
Ataque - SQLi comentarios,ataque,-0.00435,False,NORMAL
Ataque - UNION SELECT,ataque,-0.01555,False,NORMAL
Ataque - XSS,ataque,-0.00751,False,NORMAL
Evasion - 0R (burlo el WAF en Fase 2),ataque,0.00264,False,NORMAL
